,Rooms,Type,Price,Method,SellerG,Sold_Year,Distance,Bathroom,Car,Landsize,CouncilArea,Regionname,Propertycount
9620,2,u,565000.0,VB,Eview,2016,6.1,2.0,1.0,0.0,Port Phillip City Council,Southern Metropolitan,13240.0
9621,1,u,452000.0,S,RT,2017,6.1,1.0,1.0,0.0,Port Phillip City Council,Southern Metropolitan,13240.0
9622,2,u,520000.0,PI,Whiting,2017,6.1,1.0,1.0,1235.0,Port Phillip City Council,Southern Metropolitan,13240.0
9624,2,u,482300.0,S,Kay,2017,6.1,1.0,0.0,0.0,Port Phillip City Council,Southern Metropolitan,13240.0
9625,2,u,902000.0,S,Marshall,2017,6.1,1.0,0.0,0.0,Port Phillip City Council,Southern Metropolitan,13240.0
9626,3,u,1600000.0,PI,Kay,2017,6.1,2.0,2.0,0.0,Port Phillip City Council,Southern Metropolitan,13240.0
9627,2,h,1435000.0,SP,Marshall,2017,6.1,1.0,1.0,225.0,Port Phillip City Council,Southern Metropolitan,13240.0
9630,2,u,750000.0,SP,Whiting,2016,6.1,2.0,1.0,0.0,Port Phillip City Council,Southern Metropolitan,13240.0
9631,2,h,1365000.0,S,Whiting,2016,6.1,1.0,1.0,361.0,Port Phillip City Council,Southern Metropolitan,13240.0
9632,2,u,480000.0,PI,McGrath,2016,6.1,1.0,1.0,593.4889333778223,Port Phillip City Council,Southern Metropolitan,13240.0
9633,2,u,380000.0,VB,Gary,2016,6.1,1.0,1.0,593.4889333778223,Port Phillip City Council,Southern Metropolitan,13240.0
9634,4,h,1950000.0,S,hockingstuart,2016,6.1,2.0,2.0,436.0,Port Phillip City Council,Southern Metropolitan,13240.0
9635,2,u,470000.0,VB,Jas,2016,6.1,1.0,1.0,0.0,Port Phillip City Council,Southern Metropolitan,13240.0
9638,3,h,1678000.0,S,McGrath,2016,6.1,2.0,2.0,361.0,Port Phillip City Council,Southern Metropolitan,13240.0
9640,2,u,400000.0,VB,McGrath,2016,6.1,1.0,1.0,797.0,Port Phillip City Council,Southern Metropolitan,13240.0
9642,2,u,500000.0,SP,Whiting,2016,6.1,2.0,2.0,0.0,Port Phillip City Council,Southern Metropolitan,13240.0
9643,2,u,717000.0,S,Gary,2016,6.1,1.0,1.0,593.4889333778223,Port Phillip City Council,Southern Metropolitan,13240.0
9645,1,u,410000.0,S,Morleys,2016,6.1,1.0,0.0,593.4889333778223,Port Phillip City Council,Southern Metropolitan,13240.0
9646,1,u,220000.0,PI,Whiting,2016,6.1,1.0,0.0,593.4889333778223,Port Phillip City Council,Southern Metropolitan,13240.0
9647,1,u,400000.0,VB,Woodards,2016,6.1,1.0,0.0,593.4889333778223,Port Phillip City Council,Southern Metropolitan,13240.0
9648,4,h,4750000.0,PI,RT,2016,6.1,3.0,5.0,648.0,Port Phillip City Council,Southern Metropolitan,13240.0
9649,2,u,888000.0,S,Meadows,2016,6.1,1.0,1.0,593.4889333778223,Port Phillip City Council,Southern Metropolitan,13240.0
9650,2,u,760000.0,S,Woodards,2016,6.1,1.0,0.0,0.0,Port Phillip City Council,Southern Metropolitan,13240.0
9651,3,u,720000.0,SP,Wilson,2016,6.1,1.0,1.0,0.0,Port Phillip City Council,Southern Metropolitan,13240.0
9654,1,u,461000.0,SP,McGrath,2016,6.1,1.0,1.0,0.0,Port Phillip City Council,Southern Metropolitan,13240.0
9655,2,u,580000.0,PI,McGrath,2016,6.1,1.0,1.0,1155.0,Port Phillip City Council,Southern Metropolitan,13240.0
9656,2,u,700000.0,S,Whiting,2016,6.1,1.0,1.0,0.0,Port Phillip City Council,Southern Metropolitan,13240.0
9657,2,u,430000.0,SP,Cayzer,2016,6.1,1.0,1.0,0.0,Port Phillip City Council,Southern Metropolitan,13240.0
9658,3,h,1030000.0,S,Jellis,2016,6.1,1.0,1.0,292.0,Port Phillip City Council,Southern Metropolitan,13240.0
9659,2,u,610000.0,VB,Hodges,2016,6.1,1.0,1.0,593.4889333778223,Port Phillip City Council,Southern Metropolitan,13240.0
9660,1,u,665000.0,S,hockingstuart,2016,6.1,1.0,0.0,593.4889333778223,Port Phillip City Council,Southern Metropolitan,13240.0
9661,2,u,1100000.0,S,Greg,2016,6.1,1.0,2.0,1458.0,Port Phillip City Council,Southern Metropolitan,13240.0
9662,3,h,1225000.0,S,McGrath,2016,6.1,1.0,1.0,248.0,Port Phillip City Council,Southern Metropolitan,13240.0
9663,1,u,400000.0,S,Pride,2016,6.1,1.0,1.0,0.0,Port Phillip City Council,Southern Metropolitan,13240.0
9664,1,u,435000.0,SP,Buxton,2016,6.1,1.0,1.0,0.0,Port Phillip City Council,Southern Metropolitan,13240.0
9665,2,u,648000.0,S,Noel,2016,6.1,1.0,1.0,1208.0,Port Phillip City Council,Southern Metropolitan,13240.0
9667,1,u,354000.0,S,McGrath,2016,6.1,1.0,1.0,1659.0,Port Phillip City Council,Southern Metropolitan,13240.0
9668,2,u,550000.0,VB,Biggin,2016,6.1,1.0,1.0,1357.0,Port Phillip City Council,Southern Metropolitan,13240.0
9669,1,u,475000.0,S,Gary,2016,6.1,1.0,1.0,0.0,Port Phillip City Council,Southern Metropolitan,13240.0
9670,3,h,905000.0,S,Considine,2016,9.7,2.0,2.0,662.0,Moonee Valley City Council,Western Metropolitan,3284.0
9672,4,h,1055000.0,S,Frank,2016,9.7,2.0,2.0,593.4889333778223,Moonee Valley City Council,Western Metropolitan,3284.0
9673,4,h,1390000.0,S,Nelson,2016,9.7,2.0,2.0,593.4889333778223,Moonee Valley City Council,Western Metropolitan,3284.0
9674,4,h,1052000.0,S,Considine,2016,9.7,2.0,2.0,699.0,Moonee Valley City Council,Western Metropolitan,3284.0
9676,4,h,1500000.0,SP,Rendina,2016,9.7,2.0,2.0,593.4889333778223,Moonee Valley City Council,Western Metropolitan,3284.0
9680,2,u,410000.0,S,Nelson,2016,9.7,1.0,1.0,593.4889333778223,Moonee Valley City Council,Western Metropolitan,3284.0
9681,4,h,1015000.0,S,Considine,2016,9.7,2.0,1.0,794.0,Moonee Valley City Council,Western Metropolitan,3284.0
9682,4,h,1335000.0,S,Nelson,2016,9.7,2.0,2.0,593.4889333778223,Moonee Valley City Council,Western Metropolitan,3284.0
9683,4,h,1265000.0,S,Brad,2016,9.7,1.0,1.0,649.0,Moonee Valley City Council,Western Metropolitan,3284.0
9684,3,h,1025000.0,S,Considine,2016,9.7,2.0,1.0,654.0,Moonee Valley City Council,Western Metropolitan,3284.0
9685,3,h,1300000.0,S,Paul,2016,9.7,2.0,2.0,593.4889333778223,Moonee Valley City Council,Western Metropolitan,3284.0
9686,3,h,1430000.0,S,Paul,2016,9.7,1.0,1.0,694.0,Moonee Valley City Council,Western Metropolitan,3284.0
9687,3,t,650000.0,PI,Considine,2016,9.7,2.0,2.0,593.4889333778223,Moonee Valley City Council,Western Metropolitan,3284.0
9688,3,h,1330000.0,S,Considine,2016,9.7,2.0,1.0,606.0,Moonee Valley City Council,Western Metropolitan,3284.0
9689,4,h,1030000.0,S,Considine,2016,9.7,2.0,2.0,593.4889333778223,Moonee Valley City Council,Western Metropolitan,3284.0
9690,3,h,1200000.0,S,Considine,2016,9.7,2.0,2.0,1781.0,Moonee Valley City Council,Western Metropolitan,3284.0
9691,4,h,2340000.0,S,Nelson,2016,9.7,2.0,2.0,593.4889333778223,Moonee Valley City Council,Western Metropolitan,3284.0
9693,3,u,625000.0,S,Barry,2016,9.7,2.0,2.0,593.4889333778223,Moonee Valley City Council,Western Metropolitan,3284.0
9694,2,h,1321000.0,S,Nelson,2016,9.7,1.0,1.0,703.0,Moonee Valley City Council,Western Metropolitan,3284.0
9695,5,h,920000.0,S,Nelson,2016,9.7,2.0,2.0,593.4889333778223,Moonee Valley City Council,Western Metropolitan,3284.0
9696,4,h,1635000.0,S,Considine,2017,9.7,2.0,3.0,0.0,Moonee Valley City Council,Western Metropolitan,3284.0
9697,3,h,1194000.0,S,Nelson,2017,9.7,1.0,2.0,650.0,Moonee Valley City Council,Western Metropolitan,3284.0
9698,5,h,1440000.0,S,Barry,2016,9.7,3.0,2.0,617.0,Moonee Valley City Council,Western Metropolitan,3284.0
9699,4,h,1300000.0,PI,McDonald,2016,9.7,2.0,2.0,593.4889333778223,Moonee Valley City Council,Western Metropolitan,3284.0
9700,4,h,1300000.0,PI,Nelson,2016,9.7,3.0,2.0,0.0,Moonee Valley City Council,Western Metropolitan,3284.0
9701,2,h,1620000.0,S,McDonald,2016,9.7,1.0,1.0,593.4889333778223,Moonee Valley City Council,Western Metropolitan,3284.0
9702,3,h,920000.0,VB,Allan,2016,9.7,2.0,2.0,593.4889333778223,Moonee Valley City Council,Western Metropolitan,3284.0
9703,2,h,630000.0,S,Paul,2016,9.7,1.0,1.0,593.4889333778223,Moonee Valley City Council,Western Metropolitan,3284.0
9706,3,h,850000.0,VB,Considine,2016,9.7,3.0,3.0,250.0,Moonee Valley City Council,Western Metropolitan,3284.0
9707,3,h,1150000.0,SP,Nelson,2016,9.7,2.0,3.0,696.0,Moonee Valley City Council,Western Metropolitan,3284.0
9708,3,h,1175000.0,S,Frank,2016,9.7,2.0,2.0,593.4889333778223,Moonee Valley City Council,Western Metropolitan,3284.0
9709,3,h,910000.0,S,Nelson,2016,9.7,1.0,2.0,692.0,Moonee Valley City Council,Western Metropolitan,3284.0
9710,4,h,1430000.0,S,Nelson,2016,9.7,2.0,1.0,607.0,Moonee Valley City Council,Western Metropolitan,3284.0
9711,5,h,915000.0,S,Brad,2016,9.7,3.0,4.0,754.0,Moonee Valley City Council,Western Metropolitan,3284.0
9712,3,h,1715500.0,S,Nelson,2016,9.7,2.0,2.0,593.4889333778223,Moonee Valley City Council,Western Metropolitan,3284.0
9713,3,h,622500.0,S,Barry,2016,9.7,2.0,2.0,254.0,Moonee Valley City Council,Western Metropolitan,3284.0
9714,3,h,1500000.0,SP,McDonald,2016,9.7,2.0,4.0,722.0,Moonee Valley City Council,Western Metropolitan,3284.0
9715,4,t,995000.0,SP,Nelson,2017,9.7,3.0,1.0,260.0,Moonee Valley City Council,Western Metropolitan,3284.0
9716,4,h,1280000.0,VB,Brad,2017,9.7,2.0,2.0,689.0,Moonee Valley City Council,Western Metropolitan,3284.0
9717,5,h,1485000.0,S,Rendina,2016,9.7,2.0,4.0,502.0,Moonee Valley City Council,Western Metropolitan,3284.0
9718,3,h,1080000.0,S,Considine,2016,9.7,2.0,2.0,211.0,Moonee Valley City Council,Western Metropolitan,3284.0
9719,4,h,1715000.0,S,Paul,2016,9.7,3.0,2.0,650.0,Moonee Valley City Council,Western Metropolitan,3284.0
9720,3,t,850000.0,PI,Brad,2016,9.7,2.0,2.0,593.4889333778223,Moonee Valley City Council,Western Metropolitan,3284.0
9721,4,h,1000000.0,S,Frank,2016,9.7,2.0,2.0,593.4889333778223,Moonee Valley City Council,Western Metropolitan,3284.0
9722,4,t,795000.0,S,Nelson,2016,9.7,2.0,2.0,593.4889333778223,Moonee Valley City Council,Western Metropolitan,3284.0
9723,5,h,2650000.0,S,Brad,2016,9.7,3.0,2.0,755.0,Moonee Valley City Council,Western Metropolitan,3284.0
9724,2,h,630000.0,S,Barry,2016,9.7,2.0,1.0,378.0,Moonee Valley City Council,Western Metropolitan,3284.0
9725,4,h,2130000.0,S,Considine,2016,9.7,2.0,2.0,593.4889333778223,Moonee Valley City Council,Western Metropolitan,3284.0
9727,2,h,1100000.0,S,Considine,2016,9.7,1.0,1.0,593.4889333778223,Moonee Valley City Council,Western Metropolitan,3284.0
9728,3,h,1205000.0,SP,Nelson,2016,9.7,1.0,2.0,650.0,Moonee Valley City Council,Western Metropolitan,3284.0
9729,2,h,535000.0,S,Considine,2016,9.7,1.0,1.0,151.0,Moonee Valley City Council,Western Metropolitan,3284.0
9731,3,h,1075000.0,S,Nelson,2016,9.7,2.0,1.0,752.0,Moonee Valley City Council,Western Metropolitan,3284.0
9732,3,h,1000000.0,SP,Brad,2017,9.7,1.0,2.0,697.0,Moonee Valley City Council,Western Metropolitan,3284.0
9734,3,h,1400000.0,S,Nelson,2016,9.7,1.0,2.0,656.0,Moonee Valley City Council,Western Metropolitan,3284.0
9735,4,h,920000.0,VB,Pagan,2016,9.7,1.0,1.0,390.0,Moonee Valley City Council,Western Metropolitan,3284.0
9736,5,h,960000.0,VB,Nelson,2016,9.7,3.0,2.0,387.0,Moonee Valley City Council,Western Metropolitan,3284.0
9738,4,h,1110000.0,PI,Considine,2016,9.7,2.0,2.0,593.4889333778223,Moonee Valley City Council,Western Metropolitan,3284.0
9739,3,h,1160000.0,S,Barry,2016,9.7,1.0,1.0,651.0,Moonee Valley City Council,Western Metropolitan,3284.0
9740,4,h,1370000.0,S,Nelson,2016,9.7,2.0,2.0,908.0,Moonee Valley City Council,Western Metropolitan,3284.0
9741,4,h,985000.0,S,Rendina,2016,9.7,2.0,2.0,593.4889333778223,Moonee Valley City Council,Western Metropolitan,3284.0
9742,3,t,810000.0,PI,Considine,2016,9.7,2.0,2.0,593.4889333778223,Moonee Valley City Council,Western Metropolitan,3284.0
9743,3,u,750000.0,VB,Paul,2016,9.7,2.0,2.0,593.4889333778223,Moonee Valley City Council,Western Metropolitan,3284.0
9744,4,h,1910000.0,S,Considine,2016,9.7,2.0,2.0,593.4889333778223,Moonee Valley City Council,Western Metropolitan,3284.0
9745,4,h,1500000.0,SP,Considine,2016,9.7,2.0,2.0,593.4889333778223,Moonee Valley City Council,Western Metropolitan,3284.0
9746,3,t,600000.0,PI,Nelson,2016,9.7,3.0,2.0,717.0,Moonee Valley City Council,Western Metropolitan,3284.0
9747,5,h,880000.0,VB,Nelson,2016,9.7,3.0,2.0,387.0,Moonee Valley City Council,Western Metropolitan,3284.0
9748,3,h,1285000.0,S,Nelson,2016,9.7,2.0,2.0,616.0,Moonee Valley City Council,Western Metropolitan,3284.0
9750,3,h,670000.0,PI,GL,2016,12.6,2.0,2.0,593.4889333778223,Brimbank City Council,Western Metropolitan,3755.0
9751,2,u,260000.0,PI,Douglas,2016,12.6,1.0,1.0,79.0,Brimbank City Council,Western Metropolitan,3755.0
9752,3,h,800000.0,PI,Barry,2016,12.6,2.0,1.0,655.0,Brimbank City Council,Western Metropolitan,3755.0
9753,3,h,950000.0,S,GL,2016,12.6,1.0,1.0,700.0,Brimbank City Council,Western Metropolitan,3755.0
9754,3,h,625000.0,S,Barry,2016,12.6,1.0,1.0,203.0,Brimbank City Council,Western Metropolitan,3755.0
9755,2,h,710000.0,S,Barry,2016,12.6,1.0,0.0,457.0,Brimbank City Council,Western Metropolitan,3755.0
9756,3,h,735000.0,S,Sweeney,2017,12.6,1.0,2.0,539.0,Brimbank City Council,Western Metropolitan,3755.0
9757,3,h,1001000.0,S,Jas,2017,12.6,1.0,5.0,879.0,Brimbank City Council,Western Metropolitan,3755.0
9758,3,h,780000.0,S,Sweeney,2017,12.6,1.0,0.0,486.0,Brimbank City Council,Western Metropolitan,3755.0
9759,2,h,710000.0,S,S&L,2017,12.6,1.0,2.0,619.0,Brimbank City Council,Western Metropolitan,3755.0
9760,4,h,1350500.0,S,Bells,2017,12.6,1.0,0.0,726.0,Brimbank City Council,Western Metropolitan,3755.0
9761,3,h,745000.0,SP,Biggin,2017,12.6,1.0,2.0,518.0,Brimbank City Council,Western Metropolitan,3755.0
9762,2,h,490000.0,S,Sweeney,2017,12.6,1.0,1.0,322.0,Brimbank City Council,Western Metropolitan,3755.0
9763,2,h,483000.0,SP,Douglas,2016,12.6,1.0,1.0,593.4889333778223,Brimbank City Council,Western Metropolitan,3755.0
9764,4,h,700000.0,PI,Douglas,2016,12.6,2.0,1.0,807.0,Brimbank City Council,Western Metropolitan,3755.0
9766,5,h,895000.0,PI,Barry,2016,12.6,2.0,2.0,690.0,Brimbank City Council,Western Metropolitan,3755.0
9767,3,h,657500.0,S,Barry,2016,12.6,1.0,1.0,513.0,Brimbank City Council,Western Metropolitan,3755.0
9768,4,h,1030000.0,S,Sweeney,2016,12.6,2.0,2.0,803.0,Brimbank City Council,Western Metropolitan,3755.0
9769,3,h,460000.0,PI,Douglas,2016,12.6,2.0,1.0,119.0,Brimbank City Council,Western Metropolitan,3755.0
9770,3,h,725000.0,SP,Melbourne,2016,12.6,1.0,3.0,534.0,Brimbank City Council,Western Metropolitan,3755.0
9771,3,h,620000.0,S,Douglas,2016,12.6,1.0,1.0,376.0,Brimbank City Council,Western Metropolitan,3755.0
9772,3,h,460000.0,S,Douglas,2016,12.6,1.0,1.0,306.0,Brimbank City Council,Western Metropolitan,3755.0
9773,2,u,470000.0,S,Barry,2016,12.6,1.0,1.0,234.0,Brimbank City Council,Western Metropolitan,3755.0
9774,3,h,910000.0,S,Trimson,2016,12.6,1.0,1.0,725.0,Brimbank City Council,Western Metropolitan,3755.0
9775,3,h,702000.0,S,Douglas,2016,12.6,1.0,1.0,542.0,Brimbank City Council,Western Metropolitan,3755.0
9776,3,h,580000.0,S,GL,2016,12.6,1.0,1.0,469.0,Brimbank City Council,Western Metropolitan,3755.0
9777,4,h,885000.0,S,Barry,2016,12.6,2.0,2.0,593.4889333778223,Brimbank City Council,Western Metropolitan,3755.0
9778,3,u,490000.0,S,Barry,2016,12.6,1.0,1.0,301.0,Brimbank City Council,Western Metropolitan,3755.0
9780,4,h,890000.0,S,Sweeney,2016,12.6,1.0,2.0,668.0,Brimbank City Council,Western Metropolitan,3755.0
9781,3,t,570000.0,SP,Barry,2016,12.6,2.0,2.0,593.4889333778223,Brimbank City Council,Western Metropolitan,3755.0
9782,3,h,675000.0,S,Bells,2016,12.6,1.0,1.0,500.0,Brimbank City Council,Western Metropolitan,3755.0
9783,2,h,425000.0,S,Barry,2016,12.6,1.0,1.0,225.0,Brimbank City Council,Western Metropolitan,3755.0
9784,3,h,715000.0,S,YPA,2016,12.6,1.0,2.0,558.0,Brimbank City Council,Western Metropolitan,3755.0
9785,2,u,499000.0,S,Jas,2016,12.6,1.0,1.0,593.4889333778223,Brimbank City Council,Western Metropolitan,3755.0
9786,3,h,816000.0,S,Douglas,2016,12.6,1.0,1.0,511.0,Brimbank City Council,Western Metropolitan,3755.0
9787,2,h,825000.0,S,Bells,2016,12.6,1.0,3.0,580.0,Brimbank City Council,Western Metropolitan,3755.0
9788,3,h,950000.0,SP,Jas,2016,12.6,1.0,4.0,704.0,Brimbank City Council,Western Metropolitan,3755.0
9789,2,u,425500.0,SP,Barry,2016,12.6,1.0,0.0,153.0,Brimbank City Council,Western Metropolitan,3755.0
9790,3,h,735000.0,PI,hockingstuart,2016,12.6,1.0,3.0,435.0,Brimbank City Council,Western Metropolitan,3755.0
9791,3,h,595000.0,S,Douglas,2016,12.6,1.0,1.0,36.0,Brimbank City Council,Western Metropolitan,3755.0
9792,3,h,735000.0,S,Bells,2016,12.6,1.0,1.0,490.0,Brimbank City Council,Western Metropolitan,3755.0
9793,3,h,610000.0,S,Barry,2016,12.6,1.0,0.0,705.0,Brimbank City Council,Western Metropolitan,3755.0
9795,3,h,600000.0,S,Sweeney,2016,12.6,1.0,1.0,0.0,Brimbank City Council,Western Metropolitan,3755.0
9796,2,u,350000.0,SP,Jas,2016,12.6,1.0,1.0,593.4889333778223,Brimbank City Council,Western Metropolitan,3755.0
9797,3,h,595999.0,SP,Sweeney,2016,12.6,1.0,1.0,750.0,Brimbank City Council,Western Metropolitan,3755.0
9798,2,h,591000.0,S,Bells,2016,12.6,1.0,0.0,210.0,Brimbank City Council,Western Metropolitan,3755.0
9799,3,h,590000.0,S,Douglas,2016,12.6,1.0,1.0,438.0,Brimbank City Council,Western Metropolitan,3755.0
9800,4,h,691000.0,S,Stockdale,2016,12.6,1.0,1.0,521.0,Brimbank City Council,Western Metropolitan,3755.0
9801,3,h,701000.0,S,Barry,2016,12.6,1.0,1.0,550.0,Brimbank City Council,Western Metropolitan,3755.0
9802,2,h,688000.0,S,Douglas,2016,12.6,1.0,1.0,611.0,Brimbank City Council,Western Metropolitan,3755.0
9803,2,h,611000.0,S,Bells,2016,12.6,1.0,2.0,204.0,Brimbank City Council,Western Metropolitan,3755.0
9804,3,h,655000.0,S,Bells,2016,12.6,1.0,1.0,497.0,Brimbank City Council,Western Metropolitan,3755.0
9806,2,h,551000.0,S,GL,2017,12.6,1.0,2.0,613.0,Brimbank City Council,Western Metropolitan,3755.0
9807,3,h,750000.0,PI,Douglas,2017,12.6,1.0,1.0,483.0,Brimbank City Council,Western Metropolitan,3755.0
9808,4,h,670000.0,PI,Douglas,2017,12.6,1.0,1.0,603.0,Brimbank City Council,Western Metropolitan,3755.0
9809,4,h,888000.0,S,Barry,2017,12.6,1.0,2.0,562.0,Brimbank City Council,Western Metropolitan,3755.0
9810,3,h,607500.0,S,Douglas,2016,12.6,1.0,2.0,487.0,Brimbank City Council,Western Metropolitan,3755.0
9811,3,h,850000.0,S,Douglas,2016,12.6,1.0,2.0,505.0,Brimbank City Council,Western Metropolitan,3755.0
9812,4,h,590000.0,S,Barry,2016,12.6,1.0,1.0,490.0,Brimbank City Council,Western Metropolitan,3755.0
9813,2,h,555000.0,S,Barry,2016,12.6,1.0,1.0,254.0,Brimbank City Council,Western Metropolitan,3755.0
9814,3,h,750000.0,S,Barry,2016,12.6,2.0,2.0,593.4889333778223,Brimbank City Council,Western Metropolitan,3755.0
9815,4,h,810000.0,PI,Douglas,2016,12.6,2.0,2.0,593.4889333778223,Brimbank City Council,Western Metropolitan,3755.0
9816,3,h,605000.0,S,Barry,2016,12.6,1.0,1.0,462.0,Brimbank City Council,Western Metropolitan,3755.0
9817,4,h,930000.0,S,Jas,2016,12.6,2.0,2.0,504.0,Brimbank City Council,Western Metropolitan,3755.0
9819,2,u,550000.0,SP,Jas,2016,12.6,1.0,1.0,0.0,Brimbank City Council,Western Metropolitan,3755.0
9820,3,h,880000.0,S,Bells,2016,12.6,1.0,3.0,463.0,Brimbank City Council,Western Metropolitan,3755.0
9821,3,h,570000.0,PI,Douglas,2016,12.6,1.0,2.0,535.0,Brimbank City Council,Western Metropolitan,3755.0
9822,3,h,700000.0,SP,Bells,2016,12.6,1.0,4.0,505.0,Brimbank City Council,Western Metropolitan,3755.0
9823,3,h,571000.0,S,Barry,2016,12.6,1.0,2.0,589.0,Brimbank City Council,Western Metropolitan,3755.0
9824,4,h,835000.0,S,Bells,2016,12.6,2.0,2.0,465.0,Brimbank City Council,Western Metropolitan,3755.0
9825,2,u,470000.0,S,Sweeney,2016,12.6,1.0,1.0,593.4889333778223,Brimbank City Council,Western Metropolitan,3755.0
9826,3,h,625000.0,S,Douglas,2016,12.6,1.0,1.0,459.0,Brimbank City Council,Western Metropolitan,3755.0
9827,3,h,695000.0,S,Sweeney,2016,12.6,1.0,1.0,616.0,Brimbank City Council,Western Metropolitan,3755.0
9828,3,h,794000.0,S,GL,2017,12.6,1.0,0.0,426.0,Brimbank City Council,Western Metropolitan,3755.0
9829,3,h,890000.0,S,Bells,2017,12.6,1.0,1.0,668.0,Brimbank City Council,Western Metropolitan,3755.0
9831,3,h,910000.0,PI,Douglas,2017,12.6,2.0,2.0,653.0,Brimbank City Council,Western Metropolitan,3755.0
9832,3,h,755000.0,S,Crane,2017,12.6,2.0,2.0,593.4889333778223,Brimbank City Council,Western Metropolitan,3755.0
9833,3,h,607000.0,S,YPA,2017,12.6,1.0,2.0,563.0,Brimbank City Council,Western Metropolitan,3755.0
9834,3,h,679500.0,S,Sweeney,2016,12.6,1.0,1.0,351.0,Brimbank City Council,Western Metropolitan,3755.0
9836,3,t,500000.0,PI,Douglas,2016,12.6,1.0,2.0,224.0,Brimbank City Council,Western Metropolitan,3755.0
9837,4,h,895000.0,S,Jas,2016,12.6,2.0,3.0,430.0,Brimbank City Council,Western Metropolitan,3755.0
9838,3,h,762500.0,S,GL,2016,12.6,1.0,1.0,510.0,Brimbank City Council,Western Metropolitan,3755.0
9839,2,h,702000.0,SP,FN,2016,12.6,1.0,0.0,611.0,Brimbank City Council,Western Metropolitan,3755.0
9840,2,t,410000.0,SP,Barry,2016,12.6,2.0,2.0,204.0,Brimbank City Council,Western Metropolitan,3755.0
9841,2,h,720000.0,S,Douglas,2016,12.6,1.0,2.0,465.0,Brimbank City Council,Western Metropolitan,3755.0
9842,3,h,590000.0,S,GL,2016,12.6,2.0,1.0,286.0,Brimbank City Council,Western Metropolitan,3755.0
9843,3,h,635000.0,PI,Douglas,2016,12.6,1.0,1.0,631.0,Brimbank City Council,Western Metropolitan,3755.0
9844,3,h,711000.0,S,Douglas,2016,12.6,1.0,2.0,494.0,Brimbank City Council,Western Metropolitan,3755.0
9845,4,h,700000.0,PI,Douglas,2016,12.6,1.0,5.0,650.0,Brimbank City Council,Western Metropolitan,3755.0
9846,2,h,435000.0,PI,Douglas,2016,12.6,1.0,1.0,155.0,Brimbank City Council,Western Metropolitan,3755.0
9847,4,h,1001000.0,S,Jas,2016,12.6,2.0,2.0,581.0,Brimbank City Council,Western Metropolitan,3755.0
9848,3,h,591500.0,S,Barry,2016,12.6,1.0,2.0,427.0,Brimbank City Council,Western Metropolitan,3755.0
9849,3,h,650000.0,PI,Douglas,2016,13.3,2.0,2.0,593.4889333778223,Brimbank City Council,Western Metropolitan,4217.0
9850,4,h,716000.0,S,Barry,2016,13.3,1.0,1.0,683.0,Brimbank City Council,Western Metropolitan,4217.0
9851,3,h,701000.0,S,Douglas,2017,13.3,2.0,0.0,630.0,Brimbank City Council,Western Metropolitan,4217.0
9852,3,h,680000.0,SP,Douglas,2017,13.3,2.0,2.0,593.4889333778223,Brimbank City Council,Western Metropolitan,4217.0
9853,3,h,555000.0,SP,Douglas,2016,13.3,1.0,1.0,565.0,Brimbank City Council,Western Metropolitan,4217.0
9854,3,h,490000.0,PI,Douglas,2016,13.3,1.0,2.0,541.0,Brimbank City Council,Western Metropolitan,4217.0
9855,3,h,505000.0,PI,Douglas,2016,13.3,2.0,2.0,593.4889333778223,Brimbank City Council,Western Metropolitan,4217.0
9856,3,h,620500.0,S,Sweeney,2016,13.3,1.0,1.0,609.0,Brimbank City Council,Western Metropolitan,4217.0
9857,3,h,545000.0,S,Sweeney,2016,13.3,2.0,2.0,593.4889333778223,Brimbank City Council,Western Metropolitan,4217.0
9858,3,h,480000.0,PI,Douglas,2016,13.3,1.0,2.0,546.0,Brimbank City Council,Western Metropolitan,4217.0
9859,2,h,435000.0,S,Douglas,2016,13.3,1.0,4.0,343.0,Brimbank City Council,Western Metropolitan,4217.0
9860,3,h,607000.0,S,Douglas,2016,13.3,1.0,2.0,575.0,Brimbank City Council,Western Metropolitan,4217.0
9861,3,h,600000.0,S,Douglas,2016,13.3,1.0,3.0,634.0,Brimbank City Council,Western Metropolitan,4217.0
9862,2,h,560000.0,S,Barry,2016,13.3,1.0,1.0,615.0,Brimbank City Council,Western Metropolitan,4217.0
9863,3,h,550000.0,PI,Barry,2016,13.3,2.0,2.0,593.4889333778223,Brimbank City Council,Western Metropolitan,4217.0
9864,4,h,626800.0,S,Douglas,2016,13.3,1.0,2.0,581.0,Brimbank City Council,Western Metropolitan,4217.0
9865,3,h,670000.0,S,Douglas,2016,13.3,1.0,2.0,532.0,Brimbank City Council,Western Metropolitan,4217.0
9866,3,h,571500.0,S,Barry,2016,13.3,2.0,2.0,528.0,Brimbank City Council,Western Metropolitan,4217.0
9867,2,u,315000.0,PI,Douglas,2016,13.3,1.0,1.0,14.0,Brimbank City Council,Western Metropolitan,4217.0
9868,3,t,345000.0,PI,Biggin,2016,13.3,2.0,2.0,593.4889333778223,Brimbank City Council,Western Metropolitan,4217.0
9869,3,h,590000.0,PI,Douglas,2016,13.3,2.0,2.0,593.4889333778223,Brimbank City Council,Western Metropolitan,4217.0
9870,3,h,630000.0,PI,Douglas,2016,13.3,1.0,4.0,625.0,Brimbank City Council,Western Metropolitan,4217.0
